;version;loss_function;alpha;gamma;loss;accuracy;precision;recall;auc;val_loss;val_accuracy;val_precision;val_recall;val_auc
0;v2.0;BinaryCrossentropy;-;-;0.2356220930814743;0.9026583433151244;0.9309025406837464;0.9378684759140016;0.9594993591308594;0.1671083122491836;0.9374708533287048;0.9618704915046692;0.9428772926330566;0.9815695881843568
1;v2.0;BinaryCrossentropy;-;-;0.1812234222888946;0.9262258410453796;0.949023425579071;0.9512471556663512;0.975157916545868;0.1559437811374664;0.9391040802001952;0.97074955701828;0.9361777305603028;0.9833728075027466
2;v2.0;BinaryCrossentropy;-;-;0.164498820900917;0.9323690533638;0.9540612101554872;0.9544217586517334;0.9794552326202391;0.1445340067148208;0.9468035697937012;0.9604519605636596;0.9590973258018494;0.985547125339508
3;v2.0;BinaryCrossentropy;-;-;0.155841588973999;0.934993863105774;0.9558023810386658;0.9562358260154724;0.9815102815628052;0.1402802020311355;0.9463369250297546;0.9646933078765868;0.9538081884384156;0.9861140251159668
4;v2.0;BinaryCrossentropy;-;-;0.1527530550956726;0.935105562210083;0.9560157060623168;0.9561602473258972;0.9821227192878724;0.1388058364391327;0.9465702176094056;0.96503746509552;0.9538081884384156;0.986105978488922
5;v2.0;BinaryCrossentropy;-;-;0.1478507965803146;0.9380096197128296;0.9584657549858092;0.9575963616371156;0.983235478401184;0.1379347294569015;0.9477367997169496;0.963449239730835;0.957334280014038;0.98658549785614
6;v2.0;BinaryCrossentropy;-;-;0.1431643366813659;0.941807210445404;0.9597163796424866;0.9616023898124696;0.9842139482498168;0.1367440074682235;0.950070023536682;0.9577513933181764;0.9672073125839232;0.9869438409805298
7;v2.0;BinaryCrossentropy;-;-;0.1402786970138549;0.942421555519104;0.961000680923462;0.9610733389854432;0.9847843647003174;0.1348220109939575;0.9489033818244934;0.970514178276062;0.951692521572113;0.9871625304222108
8;v2.0;BinaryCrossentropy;-;-;0.1378181874752044;0.94292414188385;0.960818350315094;0.9619803428649902;0.9853849411010742;0.1318445950746536;0.9519365429878236;0.9659816026687622;0.961212992668152;0.987285614013672
9;v2.0;BinaryCrossentropy;-;-;0.1357200890779495;0.9437060356140136;0.9623940587043762;0.961375653743744;0.9857774972915648;0.1356054246425628;0.9456369280815125;0.9663203358650208;0.9509872794151306;0.9871450662612916
10;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0986138433218002;0.8050649166107178;0.9430188536643982;0.7777293920516968;0.7763717174530029;0.0754371583461761;0.9440037608146667;0.9557584524154664;0.9598025679588318;0.9853986501693726
11;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0822046920657157;0.9318664073944092;0.9526609182357788;0.9552531838417052;0.979688048362732;0.0722893998026847;0.945870280265808;0.9734545350074768;0.9439350962638856;0.9860161542892456
12;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0761694312095642;0.9363900423049928;0.9577496647834778;0.956084668636322;0.98261159658432;0.0706061199307441;0.9496033787727356;0.972582995891571;0.9506347179412842;0.986321210861206
13;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0732358321547508;0.9397408962249756;0.958909273147583;0.9595615863800048;0.9839267134666444;0.0688621699810028;0.9510032534599304;0.9616736769676208;0.9643864631652832;0.987335443496704
14;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0719088017940521;0.9407461285591124;0.960284411907196;0.9594860076904296;0.984472632408142;0.0692445263266563;0.9507699608802797;0.971613347530365;0.9534555673599244;0.9877277612686156
15;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0702503696084022;0.9432592391967772;0.9625113606452942;0.9606198072433472;0.985177755355835;0.0687981769442558;0.948203444480896;0.9576330780982972;0.9643864631652832;0.9876596927642822
16;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0677666217088699;0.9458281993865968;0.9631308317184448;0.9635676741600036;0.9862372875213624;0.0714567527174949;0.9440037608146667;0.94851416349411;0.9679125547409058;0.9875484704971312
17;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0667431578040123;0.9447112679481506;0.9637768864631652;0.9613000750541688;0.9866321086883544;0.0671551972627639;0.950303316116333;0.9675579071044922;0.9569816589355468;0.9879563450813292
18;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0660249590873718;0.9477828741073608;0.9644880890846252;0.9648526310920716;0.9869754910469056;0.0659764483571052;0.950303316116333;0.9635913968086244;0.961212992668152;0.9884175062179564
19;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0651357471942901;0.947391927242279;0.965948760509491;0.962736189365387;0.9872533082962036;0.0683193728327751;0.950536608695984;0.9616467356681824;0.9636812210083008;0.987738311290741
20;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0517352782189846;0.9230803847312928;0.9473487734794616;0.9463463425636292;0.9752985835075378;0.0429492630064487;0.9356042742729188;0.937158465385437;0.9675599336624146;0.9837549924850464
21;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0426457040011882;0.9340444803237916;0.95602148771286;0.9546485543251038;0.9797423481941224;0.038725733757019;0.9447036981582642;0.9510586857795716;0.9661495089530944;0.9863448143005372
22;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0389948487281799;0.9384563565254213;0.9593243598937988;0.9572940468788148;0.9828940629959106;0.036109808832407;0.9496033787727356;0.9661921858787536;0.957334280014038;0.9877189993858336
