loss,binary_accuracy,precision,recall,auc,val_loss,val_binary_accuracy,val_precision,val_recall,val_auc
0.6495693325996399,0.6587428450584412,0.6618635654449463,0.9900922775268555,0.49725058674812317,0.6404448747634888,0.6615168452262878,0.6615168452262878,1.0,0.5
0.6441003084182739,0.6616955399513245,0.6616955399513245,1.0,0.49844467639923096,0.64524245262146,0.6617509126663208,0.6617509126663208,1.0,0.5
0.6451090574264526,0.6615453958511353,0.6615453958511353,1.0,0.49891525506973267,0.6417942047119141,0.6619850397109985,0.6619850397109985,1.0,0.5
0.6436363458633423,0.6616955399513245,0.6616955399513245,1.0,0.5110282897949219,0.6552736163139343,0.6617509126663208,0.6617509126663208,1.0,0.5
0.645307183265686,0.6616955399513245,0.6616955399513245,1.0,0.5028706789016724,0.6396776437759399,0.6622191071510315,0.6622191071510315,1.0,0.5
0.6446704864501953,0.6617956161499023,0.6617956161499023,1.0,0.5058639645576477,0.6395816206932068,0.6622191071510315,0.6622191071510315,1.0,0.5
0.6443050503730774,0.6616955399513245,0.6616955399513245,1.0,0.5032898783683777,0.6405043005943298,0.6615168452262878,0.6615168452262878,1.0,0.5
0.64589524269104,0.6616955399513245,0.6616955399513245,1.0,0.4898117780685425,0.6517523527145386,0.6610487103462219,0.6610487103462219,1.0,0.5
0.6455629467964172,0.6615954637527466,0.6615954637527466,1.0,0.48958155512809753,0.6412689685821533,0.6619850397109985,0.6619850397109985,1.0,0.5
0.644368052482605,0.661745548248291,0.661745548248291,1.0,0.49955636262893677,0.6395931243896484,0.6622191071510315,0.6622191071510315,1.0,0.5
0.6445400714874268,0.6616955399513245,0.6616955399513245,1.0,0.49658358097076416,0.6423588395118713,0.6615168452262878,0.6615168452262878,1.0,0.5
0.6450107097625732,0.6615954637527466,0.6615954637527466,1.0,0.5011447668075562,0.644619882106781,0.6617509126663208,0.6617509126663208,1.0,0.5
0.6452128887176514,0.6599940061569214,0.6613908410072327,0.99583899974823,0.5026105642318726,0.651537299156189,0.6617509126663208,0.6617509126663208,1.0,0.5
0.6457568407058716,0.6617956161499023,0.6617956161499023,1.0,0.49685153365135193,0.6458010673522949,0.6624531745910645,0.6624531745910645,1.0,0.5
0.6445022821426392,0.6616955399513245,0.6616955399513245,1.0,0.49723124504089355,0.6411424875259399,0.6615168452262878,0.6615168452262878,1.0,0.5
0.6447833180427551,0.6616955399513245,0.6616955399513245,1.0,0.49129518866539,0.6398659944534302,0.6622191071510315,0.6622191071510315,1.0,0.5
0.6459631323814392,0.6617956161499023,0.6617956161499023,1.0,0.4954730272293091,0.6483628749847412,0.6617509126663208,0.6617509126663208,1.0,0.5
0.6436823606491089,0.6616955399513245,0.6616955399513245,1.0,0.5039284229278564,0.6418730616569519,0.6615168452262878,0.6615168452262878,1.0,0.5
0.6461137533187866,0.6617956161499023,0.6617956161499023,1.0,0.49334582686424255,0.6407355666160583,0.6612827777862549,0.6612827777862549,1.0,0.5
0.6441022753715515,0.6615954637527466,0.6615954637527466,1.0,0.49513518810272217,0.6403037309646606,0.6615168452262878,0.6615168452262878,1.0,0.5
