Metric;MegaDetector;v5.0;c5.0;v5.1;c5.1;Candidate
Accuracy;0.9608026131591227;0.9444703686420906;-;0.9337377508166124;-;v5.0
Auc;0.0;0.9896157774427314;-;0.9848922717766646;-;v5.0
F1-Score;0.9707418967771277;0.9579505250353582;-;0.949858752062157;-;v5.0
FN_rate;0.017277856135341052;0.0854993160054719;-;0.1001371742112482;-;v5.0
FP_rate;0.08206896551667539;0.040014164305949;YES;0.0487977369165487;YES;v5.0
Precision;0.959050240880936;0.9559238363892808;-;0.9485190409026798;-;v5.0
Recall;0.982722143864598;0.9599858356940508;-;0.9512022630834512;-;v5.0
