Metric;MegaDetector;v5.0;c5.0;v5.1;c5.1;Candidate
Accuracy;0.9608026131591227;0.9482034531031264;-;0.9440037330844612;-;v5.0
Auc;0.0;0.9895515782306308;-;0.987441272311658;-;v5.0
F1-Score;0.9707418967771277;0.9607496413932508;-;0.9569738207454144;-;v5.0
FN_rate;0.017277856135341052;0.0811732605729877;-;0.108160621761658;-;v5.0
FP_rate;0.08206896551667539;0.0365248226950354;YES;0.0266229029905178;YES;v5.1
Precision;0.959050240880936;0.9580394922425952;-;0.941114245416079;-;v5.0
Recall;0.982722143864598;0.9634751773049646;-;0.9733770970094822;-;v5.1
