Metric;MegaDetector;v4.0;c4.0;v4.1;c4.1;v4.2;c4.2;Candidate
Accuracy;0.9608026131591227;0.9463369108726084;-;0.9465702286514232;-;0.9479701353243116;-;v4.2
Auc;0.0;0.9887714605320752;-;0.9892495501191576;-;0.9894667088176644;-;v4.2
F1-Score;0.9707418967771277;0.9592198531561894;-;0.9594905309986412;-;0.9606215736685628;-;v4.2
FN_rate;0.017277856135341052;0.0883940620782726;-;0.0844111640571817;-;0.0795065113091158;-;v4.2
FP_rate;0.08206896551667539;0.0353067047075606;YES;0.0372736954206602;YES;0.037849310222851;YES;v4.0
Precision;0.959050240880936;0.9538081805359662;-;0.9562764456981664;-;0.9590973201692524;YES;v4.2
Recall;0.982722143864598;0.9646932952924394;-;0.9627263045793396;-;0.9621506897771488;-;v4.0
