Metric;MegaDetector;v7.0;c7.0;v7.1;c7.1;v7.2;c7.2;v7.3;c7.3;Candidate
Accuracy;0.9608026131591227;0.9575361642557164;-;0.9610359309379376;YES;0.9638357442837144;YES;0.9731684554363044;YES;v7.3
Auc;0.0;0.9932885073683184;-;0.9943944847040512;-;0.9945119400807352;-;0.9964016827975292;-;v7.3
F1-Score;0.9707418967771277;0.96794645502114;-;0.9705519258763888;-;0.97247380071861;YES;0.9797142303148718;YES;v7.3
FN_rate;0.017277856135341052;0.0609418282548476;-;0.0578911095796002;-;0.0657276995305164;-;0.0406056434962147;-;v7.3
FP_rate;0.08206896551667539;0.0330752990851513;YES;0.0292768959435626;YES;0.0203935599284436;YES;0.0197670314154606;YES;v7.3
Precision;0.959050240880936;0.9689703808180536;YES;0.9703808180535968;YES;0.965444287729196;YES;0.9791960507757403;YES;v7.3
Recall;0.982722143864598;0.9669247009148488;-;0.9707231040564374;-;0.9796064400715564;-;0.9802329685845392;-;v7.3
