Metric;MegaDetector;v6.0;c6.0;v6.1;c6.1;v6.2;c6.2;v6.3;c6.3;v6.4;c6.4;Candidate
Accuracy;0.9608026131591227;0.9463369108726084;-;0.9465702286514232;-;0.9440037330844612;-;0.9421371908539432;-;0.9475034997666822;-;v6.4
Auc;0.0;0.9890430912893342;-;0.9890418753951656;-;0.986472691016974;-;0.985483439521424;-;0.9892133164729342;-;v6.4
F1-Score;0.9707418967771277;0.958884514128609;-;0.9592599131644391;-;0.9568965467258824;-;0.9561217218224264;-;0.95995728277407;-;v6.4
FN_rate;0.017277856135341052;0.1007853403141361;-;0.0932711525649566;-;0.1106821106821106;-;0.091156462585034;-;0.0924817032601463;-;v6.3
FP_rate;0.08206896551667539;0.0275562001450326;YES;0.0319569120287253;YES;0.0248901903367496;YES;0.0404829545454545;YES;0.0309019044196909;YES;v6.2
Precision;0.959050240880936;0.9456981664315938;-;0.9506346967559944;-;0.9393511988716502;-;0.9527503526093088;-;0.95098730606488;-;v6.3
Recall;0.982722143864598;0.9724437998549672;-;0.9680430879712748;-;0.9751098096632504;-;0.9595170454545454;-;0.969098095580309;-;v6.2
