loss;accuracy;precision;recall;auc;val_loss;val_accuracy;val_precision;val_recall;val_auc
0.03240267559885979;0.8805875778198242;0.9553971290588379;0.8759492039680481;0.9512940645217896;0.025630606338381767;0.916938841342926;0.9428571462631226;0.9308885931968689;0.9734258055686951
0.021143842488527298;0.904724657535553;0.9721402525901794;0.8967497944831848;0.9719061851501465;0.02276984229683876;0.8901073336601257;0.9808865189552307;0.8504936695098877;0.9751206636428833
0.019817562773823738;0.9107003211975098;0.9758612513542175;0.9014361500740051;0.9750350117683411;0.021783392876386642;0.8973401784896851;0.9826752543449402;0.8600140810012817;0.9749685525894165
0.01897289790213108;0.9163967370986938;0.9787025451660156;0.9065759778022766;0.9768672585487366;0.020750870928168297;0.9188054203987122;0.9624535441398621;0.9129055142402649;0.9786396026611328
0.018313495442271233;0.9168993830680847;0.9774723649024963;0.9084656238555908;0.9784145951271057;0.020633410662412643;0.9083061218261719;0.9728997349739075;0.8861072063446045;0.9775081872940063
0.017671747133135796;0.920473575592041;0.9793730974197388;0.9115646481513977;0.9797050356864929;0.021039757877588272;0.9199720025062561;0.9645918607711792;0.9125528931617737;0.9775502681732178
0.01751071959733963;0.9210320711135864;0.9801690578460693;0.9115646481513977;0.9802857637405396;0.020702064037322998;0.9031731486320496;0.9763872623443604;0.8748236894607544;0.9786719679832458
0.017143353819847107;0.9223724007606506;0.9796629548072815;0.9139077663421631;0.981022834777832;0.020904023200273514;0.9155389666557312;0.9717772603034973;0.8984485268592834;0.977022647857666
0.016728660091757774;0.9259465932846069;0.9812419414520264;0.9173091650009155;0.9819135665893555;0.02528764121234417;0.874708354473114;0.9872827529907227;0.8212270736694336;0.9774729013442993
0.016361776739358902;0.9256115555763245;0.9806884527206421;0.9173847436904907;0.9826483726501465;0.023269513621926308;0.9272048473358154;0.9503926038742065;0.9389985799789429;0.9785038232803345
