;precision;recall;f1-score;support
vacía;0.9382632293080054;0.9537931034482758;0.9459644322845417;1450.0
animal;0.9761735419630156;0.9679125528913963;0.9720254957507082;2836.0
accuracy;0.9631357909472702;0.9631357909472702;0.9631357909472702;0.9631357909472702
macro avg;0.9572183856355105;0.9608528281698361;0.958994964017625;4286.0
weighted avg;0.9633480745458984;0.9631357909472702;0.9632087570605679;4286.0
