Metric;MegaDetector;v8.0;c8.0;Candidate
Accuracy;0.9608026131591227;0.964302379841344;YES;v8.0
Auc;0.0;0.9946619814211372;-;v8.0
F1-Score;0.9707418967771277;0.972634586308508;YES;v8.0
FN_rate;0.017277856135341052;0.0130671506352087;YES;v8.0
FP_rate;0.08206896551667539;0.0764206401045068;YES;v8.0
Precision;0.959050240880936;0.9587447108603668;-;v8.0
Recall;0.982722143864598;0.9869328493647912;YES;v8.0
