loss;accuracy;precision;recall;auc;val_loss;val_accuracy;val_precision;val_recall;val_auc
0.014520535245537758;0.9005948305130005;0.9690672755241394;0.8911365866661072;0.9672616720199585;0.011077210307121277;0.9122725129127502;0.9827315807342529;0.8829337358474731;0.9736047983169556
0.009549228474497795;0.9223724007606506;0.9782679080963135;0.9152683019638062;0.9785924553871155;0.010079571977257729;0.9188054203987122;0.9791987538337708;0.896332859992981;0.9776499271392822
0.008617222309112549;0.9282363653182983;0.9808388948440552;0.9208616614341736;0.9818785190582275;0.010008097626268864;0.9239383935928345;0.9768236875534058;0.9065585136413574;0.9794849753379822
0.008186758495867252;0.9297442436218262;0.9808804392814636;0.9229024648666382;0.9837017059326172;0.010034572333097458;0.9342043995857239;0.9708701968193054;0.9284203052520752;0.9804704785346985
0.007906305603682995;0.9334859848022461;0.9829896688461304;0.9260014891624451;0.9847116470336914;0.009928741492331028;0.9293047189712524;0.9738122224807739;0.9178420305252075;0.9803551435470581
0.007838175632059574;0.9325366020202637;0.9814192056655884;0.9262282848358154;0.9851098656654358;0.010057952255010605;0.9227718114852905;0.9753320813179016;0.906205952167511;0.9806660413742065
0.0076864538714289665;0.9334301352500916;0.9823689460754395;0.9265305995941162;0.9855072498321533;0.0106990747153759;0.9363042712211609;0.9634719491004944;0.9393512010574341;0.9814906120300293
0.007692012470215559;0.9348821640014648;0.9820201396942139;0.9288737773895264;0.9854707717895508;0.010403386317193508;0.9258049726486206;0.9787072539329529;0.907616376876831;0.9805412888526917
0.007589745335280895;0.9349380135536194;0.9826385974884033;0.9283446669578552;0.9859133958816528;0.01058120746165514;0.925571620464325;0.9740113019943237;0.9118476510047913;0.9809125661849976
0.007562799844890833;0.9366134405136108;0.9827572703361511;0.930536687374115;0.986024796962738;0.010528207756578922;0.9304713010787964;0.9700000286102295;0.9234837889671326;0.9814249873161316
