;precision;recall;f1-score;support
vacía;0.92996632996633;0.9524137931034483;0.9410562180579216;1450.0
animal;0.9753659407354516;0.9633286318758815;0.9693099166223168;2836.0
accuracy;0.959636024265049;0.959636024265049;0.959636024265049;0.959636024265049
macro avg;0.9526661353508907;0.9578712124896649;0.9551830673401192;4286.0
weighted avg;0.9600067630370787;0.959636024265049;0.9597513858434149;4286.0
