loss;accuracy;precision;recall;auc;val_loss;val_accuracy;val_precision;val_recall;val_auc
0.052322957664728165;0.9239365458488464;0.9474110007286072;0.9475289583206177;0.9752208590507507;0.03918975219130516;0.9412038922309875;0.9725676774978638;0.9375881552696228;0.9852613210678101
0.04148869961500168;0.9335418343544006;0.9552329182624817;0.9547997117042542;0.9807182550430298;0.03925568610429764;0.9433037638664246;0.9459924101829529;0.969675600528717;0.986575186252594
0.03915083780884743;0.9346587657928467;0.956818163394928;0.9546485543251038;0.9827367067337036;0.035327933728694916;0.9512366056442261;0.9652851819992065;0.9608603715896606;0.9879091382026672
0.03692774474620819;0.9400200843811035;0.960663914680481;0.9580498933792114;0.9847308993339539;0.03649892285466194;0.9456369280815125;0.96070796251297;0.9569816589355469;0.9873093366622925
0.036788370460271835;0.9414162635803223;0.9607383608818054;0.9599395394325256;0.9848220944404602;0.036461520940065384;0.9456369280815125;0.9748266935348511;0.9421720504760742;0.988121747970581
0.03577600419521332;0.9454373121261597;0.9642342925071716;0.9618291854858398;0.9857226610183716;0.035021599382162094;0.947036862373352;0.9624246954917908;0.9573342800140381;0.9885084629058838
0.03487488627433777;0.9452139139175415;0.9640124440193176;0.9617536067962646;0.9863709807395935;0.03493745997548103;0.948203444480896;0.9647937417030334;0.9566290378570557;0.988599419593811
0.033786121755838394;0.9459398984909058;0.9642586708068848;0.9625094532966614;0.9872255921363831;0.0365338958799839;0.9484367966651917;0.9715110063552856;0.9499294757843018;0.988115668296814
0.033895671367645264;0.9463308453559875;0.9650519490242004;0.9622070789337158;0.9871774911880493;0.04132547974586487;0.9409705996513367;0.9421430826187134;0.9703808426856995;0.9867085218429565
0.03339968994259834;0.9458840489387512;0.9639748930931091;0.962736189365387;0.9875088930130005;0.03771840035915375;0.9451703429222107;0.9693251252174377;0.9471086263656616;0.9880231618881226
