loss;accuracy;precision;recall;auc;val_loss;val_accuracy;val_precision;val_recall;val_auc
0.2356220930814743;0.9026583433151245;0.9309025406837463;0.9378684759140015;0.9594993591308594;0.16710831224918365;0.9374708533287048;0.9618704915046692;0.9428772926330566;0.9815695881843567
0.18122342228889465;0.9262258410453796;0.949023425579071;0.9512471556663513;0.9751579165458679;0.15594378113746643;0.9391040802001953;0.97074955701828;0.9361777305603027;0.9833728075027466
0.16449882090091705;0.9323690533638;0.9540612101554871;0.9544217586517334;0.9794552326202393;0.14453400671482086;0.9468035697937012;0.9604519605636597;0.9590973258018494;0.9855471253395081
0.15584158897399902;0.9349938631057739;0.9558023810386658;0.9562358260154724;0.9815102815628052;0.14028020203113556;0.9463369250297546;0.9646933078765869;0.9538081884384155;0.9861140251159668
0.1527530550956726;0.935105562210083;0.9560157060623169;0.9561602473258972;0.9821227192878723;0.1388058364391327;0.9465702176094055;0.96503746509552;0.9538081884384155;0.9861059784889221
0.14785079658031464;0.9380096197128296;0.9584657549858093;0.9575963616371155;0.9832354784011841;0.13793472945690155;0.9477367997169495;0.963449239730835;0.9573342800140381;0.9865854978561401
0.14316433668136597;0.941807210445404;0.9597163796424866;0.9616023898124695;0.9842139482498169;0.13674400746822357;0.9500700235366821;0.9577513933181763;0.9672073125839233;0.9869438409805298
0.14027869701385498;0.942421555519104;0.9610006809234619;0.9610733389854431;0.9847843647003174;0.13482201099395752;0.9489033818244934;0.970514178276062;0.951692521572113;0.9871625304222107
0.13781818747520447;0.9429241418838501;0.960818350315094;0.9619803428649902;0.9853849411010742;0.13184459507465363;0.9519365429878235;0.9659816026687622;0.9612129926681519;0.9872856140136719
0.13572008907794952;0.9437060356140137;0.9623940587043762;0.9613756537437439;0.9857774972915649;0.13560542464256287;0.9456369280815125;0.9663203358650208;0.9509872794151306;0.9871450662612915
