accuracy;auc;loss;precision;recall;val_accuracy;val_auc;val_loss;val_precision;val_recall;f1_score;val_f1_score
0.9314196109771729;0.9783402681350708;0.0441845916211605;0.9596354365348816;0.947014331817627;0.9444590210914612;0.9846445918083192;0.0370313189923763;0.9662282466888428;0.958730161190033;0.9532831063540789;0.9624645956925248
0.9432033896446228;0.9853516817092896;0.036317940801382;0.9656829237937928;0.9571428298950196;0.9476028084754944;0.9869502186775208;0.0345641002058982;0.97273051738739;0.9562610387802124;0.9613939067345203;0.9644254659527723
0.9513012170791626;0.9888706207275392;0.0318388678133487;0.970243513584137;0.9636432528495787;0.9507466554641724;0.9877581596374512;0.0331585928797721;0.970828890800476;0.9626102447509766;0.9669321150337452;0.966702094901694
0.9555456042289734;0.9903112649917604;0.0297098942101001;0.9729195237159728;0.9667422771453856;0.9525805711746216;0.9879687428474426;0.0327219441533088;0.9692361950874328;0.9668430089950562;0.969821059083183;0.9680381179334603
0.9596225023269652;0.9920566082000732;0.0269426144659519;0.9757322072982788;0.969463348388672;0.9554623961448668;0.9891318082809448;0.0310031902045011;0.9690250158309937;0.9710758328437804;0.9725876713933381;0.9700493354116723
0.963643491268158;0.9934693574905396;0.0245570559054613;0.9779618382453918;0.9727135300636292;0.9583442211151124;0.989453911781311;0.0308255199342966;0.9744681119918824;0.9693121910095216;0.9753306188463021;0.9718833084025388
0.9668267369270324;0.9942744970321656;0.0229569878429174;0.9808951020240784;0.9740740656852722;0.9593921899795532;0.9899618625640868;0.030378246679902;0.9708362817764282;0.9746031761169434;0.9774726792970594;0.9727160770861161
0.9690048098564148;0.9950605630874634;0.0213976725935935;0.9809516668319702;0.9770219326019288;0.960702121257782;0.9900622367858888;0.0302316509187221;0.9752212166786194;0.971781313419342;0.978982851147168;0.9734982212921766
0.96961909532547;0.9956469535827636;0.0201033856719732;0.981332540512085;0.9774754643440248;0.9586062431335448;0.99042809009552;0.0306202452629804;0.9775241017341614;0.9664903283119202;0.9794001999562115;0.9719758974583228
0.9729140996932985;0.9961543679237366;0.0189887024462223;0.9836812019348145;0.9795918464660645;0.9586062431335448;0.9906486868858336;0.0297964345663785;0.9761650562286376;0.9679012298583984;0.9816322602849314;0.9720155741295674
