Metric;MegaDetector;v2.0;c2.0;v2.1;c2.1;v2.2;c2.2;Candidate
Accuracy;0.9608026131591227;0.9535697620158656;-;0.9533364442370508;-;0.9433037797480168;-;v2.0
Auc;0.0;0.9913540197461214;-;0.990878361947376;-;0.9876783716745294;-;v2.0
F1-Score;0.9707418967771277;0.96473506499836;-;0.9644760163146656;-;0.9571352922305536;-;v2.0
FN_rate;0.017277856135341052;0.0770791075050709;-;0.0810991957104557;-;0.0846524432209222;-;v2.0
FP_rate;0.08206896551667539;0.0302814392589953;YES;0.0282748747315676;YES;0.0423579244617013;YES;v2.1
Precision;0.959050240880936;0.959802538787024;YES;0.9573342736248236;-;0.9566290550070522;-;v2.0
Recall;0.982722143864598;0.9697185607410046;-;0.9717251252684324;-;0.9576420755382986;-;v2.1
