;precision;recall;f1-score;support
vacía;0.9159001314060446;0.9613793103448276;0.9380888290713324;1450.0
animal;0.9797395079594791;0.9548660084626234;0.9671428571428572;2836.0
accuracy;0.9570695286980868;0.9570695286980868;0.9570695286980868;0.9570695286980868
macro avg;0.9478198196827619;0.9581226594037255;0.9526158431070948;4286.0
weighted avg;0.9581419587288491;0.9570695286980868;0.9573135662647166;4286.0
