;precision;recall;f1-score;support
vacía;0.916941331575478;0.9593103448275863;0.9376474553420964;1450.0
animal;0.9786926688335139;0.9555712270803949;0.9669937555753791;2836.0
accuracy;0.9568362109192721;0.9568362109192721;0.9568362109192721;0.9568362109192721
macro avg;0.9478170002044959;0.9574407859539906;0.9523206054587378;4286.0
weighted avg;0.9578015258040803;0.9568362109192721;0.9570655858744318;4286.0
