;precision;recall;f1-score;support
vacía;0.8945707070707071;0.9772413793103448;0.9340804218852999;1450.0
animal;0.9877868245743894;0.941114245416079;0.9638858793788371;2836.0
accuracy;0.9533364442370509;0.9533364442370509;0.9533364442370509;0.9533364442370509
macro avg;0.9411787658225482;0.959177812363212;0.9489831506320685;4286.0
weighted avg;0.9562508072201338;0.9533364442370509;0.9538023718273605;4286.0
