Metric;MegaDetector;v1.0;c1.0;v1.1;c1.1;v1.2;c1.2;v1.3;c1.3;Candidate
Accuracy;0.9608026131591227;0.949603359776015;-;0.9491367242183856;-;0.9484367708819412;-;0.9470368642090528;-;v1.0
Auc;0.0;0.9907686882933712;-;0.9908501532026652;-;0.9900435290112348;-;0.98908078400856;-;v1.1
F1-Score;0.9707418967771277;0.9614423370214876;-;0.9610296696523845;-;0.9609747433666028;-;0.9598016596007708;-;v1.0
FN_rate;0.017277856135341052;0.094078947368421;-;0.0968586387434555;-;0.0788211103495545;-;0.0854237288135593;-;v1.2
FP_rate;0.08206896551667539;0.0263919016630513;YES;0.0253807106598984;YES;0.0374955783516094;YES;0.0359302739238705;YES;v1.1
Precision;0.959050240880936;0.9495768688293372;-;0.9478138222849084;-;0.9594499294781382;YES;0.9555712270803948;-;v1.2
Recall;0.982722143864598;0.9736080983369486;-;0.9746192893401016;-;0.9625044216483906;-;0.9640697260761296;-;v1.1
