Metric;MegaDetector;v5.0;c5.0;v5.1;c5.1;Candidate
Accuracy;0.9608026131591227;0.9470368642090528;-;0.945870275314979;-;v5.0
Auc;0.0;0.989365060065172;-;0.987455619862847;-;v5.0
F1-Score;0.9707418967771277;0.9596874395039056;-;0.9586305228180548;-;v5.0
FN_rate;0.017277856135341052;0.0898725687458081;-;0.0977542932628798;-;v5.0
FP_rate;0.08206896551667539;0.0332737030411449;YES;0.0303030303030303;YES;v5.1
Precision;0.959050240880936;0.9527503526093088;-;0.9478138222849084;-;v5.0
Recall;0.982722143864598;0.9667262969588551;-;0.9696969696969696;-;v5.1
