;precision;recall;f1-score;support
vacía;0.9212962962962963;0.9606896551724138;0.9405806887238353;1450.0
animal;0.9794520547945206;0.9580394922425952;0.9686274509803922;2836.0
accuracy;0.9589360709286048;0.9589360709286048;0.9589360709286048;0.9589360709286048
macro avg;0.9503741755454085;0.9593645737075045;0.9546040698521137;4286.0
weighted avg;0.9597773348172866;0.9589360709286048;0.9591389289850567;4286.0
