accuracy;auc;loss;precision;recall;val_accuracy;val_auc;val_loss;val_precision;val_recall;f1_score;val_f1_score
0.9357839226722716;0.984287679195404;0.0210872888565063;0.9604532718658448;0.9417233467102052;0.950536608695984;0.987736999988556;0.0187998823821544;0.970588207244873;0.9541608095169068;0.9509960914800593;0.9623044008915886
0.9467867016792296;0.9879053831100464;0.0183377768844366;0.964634895324707;0.9545729160308838;0.9498366713523864;0.988714039325714;0.0178180914372205;0.9665361046791076;0.957334280014038;0.9595775243192316;0.9619131812963211
0.951187789440155;0.9902169108390808;0.0165668483823537;0.9657190442085266;0.9603174328804016;0.9528698325157166;0.989795982837677;0.0173552203923463;0.9737409949302672;0.9545133709907532;0.9630106590760842;0.9640313136578083
0.9533883333206176;0.9913647770881652;0.0155146680772304;0.967818021774292;0.9615268111228944;0.9549696445465088;0.9901954531669616;0.0170458145439624;0.975530743598938;0.955923855304718;0.9646621542538761;0.9656277761750821
0.9550887942314148;0.9916667342185974;0.0152837019413709;0.9714788198471068;0.9603174328804016;0.9566028714179992;0.9904179573059082;0.0164834465831518;0.9701915979385376;0.964033842086792;0.9658658776532181;0.9671029131674018
0.9568392038345336;0.992701768875122;0.0143145285546779;0.971483051776886;0.9630385637283324;0.9573028683662416;0.9907633662223816;0.0163407586514949;0.970890998840332;0.9643864631652832;0.9672423720001528;0.9676277950161766
0.9589897394180298;0.9931023120880128;0.0138667430728673;0.9722222089767456;0.9656084775924684;0.9570695161819458;0.991247534751892;0.0161310099065303;0.9735714197158812;0.961212992668152;0.9689040520966804;0.9673527314926209
0.9600400328636168;0.9939095377922058;0.0130640566349029;0.9730573296546936;0.966364324092865;0.9596360325813292;0.9914551973342896;0.01578457839787;0.9726659655570984;0.9661495089530944;0.9696992729867353;0.9693967811854842
0.960590124130249;0.9937379956245422;0.0132862832397222;0.9740893244743348;0.9661375880241394;0.9594026803970336;0.9915298819541932;0.0157500263303518;0.9713172912597656;0.9672073125839232;0.9700971567344462;0.9692579400195397
0.9617904424667358;0.9940126538276672;0.0130186649039387;0.9753660559654236;0.9666666388511658;0.9603359699249268;0.9918219447135924;0.0154569149017333;0.9720255136489868;0.9679125547409058;0.9709968577060186;0.9699646691508893
