Metric;MegaDetector;v7.0;c7.0;v7.1;c7.1;v7.2;c7.2;v7.3;c7.3;Candidate
Accuracy;0.9608026131591227;0.961502566495567;YES;0.9617358842743816;YES;0.9657022865142324;YES;0.966868875408306;YES;v7.3
Auc;0.0;0.9940085598949469;-;0.9945503623364622;-;0.9944567384854822;-;0.9954073245464714;-;v7.3
F1-Score;0.9707418967771277;0.9706979172165676;-;0.970911665805432;YES;0.9741151561199232;YES;0.9748048211180182;YES;v7.3
FN_rate;0.017277856135341052;0.0690811535881958;-;0.0667115902964959;-;0.0485100485100485;-;0.0598923283983849;-;v7.2
FP_rate;0.08206896551667539;0.0221824686940966;YES;0.023197715917202;YES;0.0270840661273302;YES;0.0189285714285714;YES;v7.3
Precision;0.959050240880936;0.9636812411847672;YES;0.9650916784203104;YES;0.9753173483779972;YES;0.9686177715091678;YES;v7.2
Recall;0.982722143864598;0.9778175313059034;-;0.976802284082798;-;0.9729159338726696;-;0.9810714285714286;-;v7.3
