Metric;MegaDetector;v1.0;c1.0;v1.1;c1.1;v1.2;c1.2;v1.3;c1.3;Candidate
Accuracy;0.9608026131591227;0.9538030797946804;-;0.952403173121792;-;0.94493700419972;-;0.949603359776015;-;v1.0
Auc;0.0;0.9912796070230044;-;0.9907896016730704;-;0.9898044842176936;-;0.9894727882885074;-;v1.0
F1-Score;0.9707418967771277;0.9649060566803966;-;0.9638810148301188;-;0.9583920965514808;-;0.9614698487288414;-;v1.0
FN_rate;0.017277856135341052;0.077027027027027;-;0.0773405698778833;-;0.0813793103448275;-;0.0930079155672823;-;v1.0
FP_rate;0.08206896551667539;0.029935851746258;YES;0.0320056899004267;YES;0.041607898448519;YES;0.0270758122743682;YES;v1.3
Precision;0.959050240880936;0.959802538787024;YES;0.959802538787024;YES;0.9583921015514808;-;0.9502820874471086;-;v1.0
Recall;0.982722143864598;0.970064148253742;-;0.9679943100995732;-;0.9583921015514808;-;0.9729241877256316;-;v1.3
