;precision;recall;f1-score;support
vacía;0.8878446115288221;0.9772413793103448;0.9304005252790545;1450.0
animal;0.987732342007435;0.93688293370945;0.9616359030039812;2836.0
accuracy;0.9505366308912739;0.9505366308912739;0.9505366308912739;0.9505366308912739
macro avg;0.9377884767681286;0.9570621565098973;0.9460182141415179;4286.0
weighted avg;0.9539392460685668;0.9505366308912739;0.951068638024713;4286.0
