;precision;recall;f1-score;support
vacía;0.9181286549707602;0.9744827586206897;0.9454667112746739;1450.0
animal;0.9865307608299964;0.9555712270803949;0.9708042271180369;2836.0
accuracy;0.9619692020531965;0.9619692020531965;0.9619692020531965;0.9619692020531965
macro avg;0.9523297079003783;0.9650269928505423;0.9581354691963554;4286.0
weighted avg;0.9633895910922706;0.9619692020531965;0.9622322723880145;4286.0
