accuracy;auc;loss;precision;recall;val_accuracy;val_auc;val_loss;val_precision;val_recall
0.9121523499488831;0.9646888375282288;0.22667019069194794;0.9369518160820007;0.9446712136268616;0.9370042085647583;0.9811381101608276;0.17094193398952484;0.958214282989502;0.946050763130188
0.9358315467834473;0.9804301261901855;0.16274265944957733;0.960579514503479;0.9522297978401184;0.9440037608146667;0.9848551750183105;0.15108776092529297;0.9639027714729309;0.9509872794151306
0.9396291971206665;0.9836576581001282;0.14766867458820343;0.9625371098518372;0.9554799795150757;0.9468035697937012;0.9858127236366272;0.14402109384536743;0.9680545330047607;0.9509872794151306
0.9432033896446228;0.9852275252342224;0.13973477482795715;0.9653280377388;0.9575207829475403;0.9475035071372986;0.9864863157272339;0.13810467720031738;0.9707897305488586;0.9492242336273193
0.9442644715309143;0.985766589641571;0.13631495833396912;0.9655198454856873;0.9588057398796082;0.9463369250297546;0.9871413111686707;0.1371566206216812;0.9755474328994751;0.9425246715545654
0.9473360776901245;0.9868670105934143;0.13040925562381744;0.968933641910553;0.9594860076904297;0.9475035071372986;0.9871938824653625;0.13476338982582092;0.9624512791633606;0.9580394625663757
0.9466659426689148;0.9875612854957581;0.12786176800727844;0.9675477743148804;0.9600151181221008;0.9491367340087891;0.9873679280281067;0.13215847313404083;0.9618912935256958;0.9612129926681519
0.9477270245552063;0.987998366355896;0.1251441389322281;0.9682358503341675;0.9607709646224976;0.9477367997169495;0.9879216551780701;0.13119250535964966;0.9721619486808777;0.9481664299964905
0.9513570666313171;0.9887365698814392;0.12138232588768005;0.9713217616081238;0.9625850319862366;0.951469898223877;0.9880134463310242;0.12764129042625427;0.9646393060684204;0.9619181752204895
0.952976644039154;0.9888818860054016;0.11956659704446793;0.9713133573532104;0.9648526310920715;0.9528698325157166;0.9884855151176453;0.12635520100593567;0.9690170884132385;0.9594499468803406
