;precision;recall;f1-score;support
vacía;0.9166666666666666;0.9406896551724138;0.9285228046289993;1450.0
animal;0.9692637598284489;0.9562764456981664;0.9627263045793397;2836.0
accuracy;0.9510032664489034;0.9510032664489034;0.9510032664489034;0.9510032664489034
macro avg;0.9429652132475578;0.9484830504352901;0.9456245546041695;4286.0
weighted avg;0.9514695962529509;0.9510032664489034;0.9511548918569892;4286.0
