Metric;MegaDetector;v2.0;c2.0;v2.1;c2.1;v2.2;c2.2;Candidate
Accuracy;0.9608026131591227;0.9484367708819412;-;0.9484367708819412;-;0.933971068595427;-;v2.0
Auc;0.0;0.9910196488497642;-;0.9906901415300812;-;0.9841984825640776;-;v2.0
F1-Score;0.9707418967771277;0.96066915321365;-;0.9612076481508774;-;0.9498671340612306;-;v2.1
FN_rate;0.017277856135341052;0.0911510312707917;-;0.0687719298245614;-;0.1049424509140149;-;v2.1
FP_rate;0.08206896551667539;0.0301832554796981;YES;0.0429919608528486;YES;0.045567817728729;YES;v2.0
Precision;0.959050240880936;0.9516925246826516;-;0.965444287729196;YES;0.945345557122708;-;v2.1
Recall;0.982722143864598;0.969816744520302;-;0.9570080391471514;-;0.9544321822712708;-;v2.0
