accuracy;auc;loss;precision;recall;val_accuracy;val_auc;val_loss;val_precision;val_recall
0.9137284159660339;0.9711423516273499;0.2243756204843521;0.8637413382530212;0.8845528364181519;0.9346710443496704;0.9819000363349915;0.1682514101266861;0.8958051204681396;0.913103461265564
0.9399349689483643;0.9852145910263062;0.15291959047317505;0.9006336331367493;0.9244641661643982;0.9402706623077393;0.9846900105476379;0.15238508582115173;0.918067216873169;0.904137909412384
0.9449862241744995;0.9876276850700378;0.13865146040916443;0.9109241366386414;0.9281596541404724;0.9440037608146667;0.9862333536148071;0.14136789739131927;0.9132513403892517;0.9220689535140991
0.9474368691444397;0.9887252449989319;0.13083665072917938;0.9122655391693115;0.9345158934593201;0.9447036981582642;0.9870302677154541;0.13766875863075256;0.8977048993110657;0.9441379308700562
0.9492872953414917;0.9895886182785034;0.1256251186132431;0.9161962866783142;0.9356984496116638;0.946103572845459;0.987180233001709;0.13485270738601685;0.9160409569740295;0.9255172610282898
0.951187789440155;0.9903698563575745;0.12062598019838333;0.920406699180603;0.9367331862449646;0.9444703459739685;0.9874817728996277;0.13339479267597198;0.9122449159622192;0.9248275756835938
0.9507877230644226;0.9906415343284607;0.11866914480924606;0.9212942719459534;0.9343680739402771;0.948203444480896;0.9881487488746643;0.13020430505275726;0.9082446694374084;0.9420689940452576
0.9534883499145508;0.9910061359405518;0.1161157488822937;0.9238703846931458;0.9399852156639099;0.9486700892448425;0.988305389881134;0.12928302586078644;0.9116466045379639;0.9393103718757629
0.9521880745887756;0.991260826587677;0.11476321518421173;0.9213694930076599;0.9388026595115662;0.951469898223877;0.9882579445838928;0.1278042197227478;0.9253424406051636;0.9317241311073303
0.9554388523101807;0.9917649626731873;0.11096574366092682;0.9280093312263489;0.9413155913352966;0.951469898223877;0.9883900880813599;0.12810735404491425;0.9247605800628662;0.9324138164520264
