;precision;recall;f1-score;support
vacía;0.9281879194630872;0.9537931034482758;0.9408163265306122;1450.0
animal;0.9760371959942775;0.9622708039492243;0.9691051136363636;2836.0
accuracy;0.9594027064862343;0.9594027064862343;0.9594027064862343;0.9594027064862343
macro avg;0.9521125577286824;0.95803195369875;0.954960720083488;4286.0
weighted avg;0.9598492699629602;0.9594027064862343;0.9595347120256917;4286.0
