;precision;recall;f1-score;support
vacía;0.9390581717451524;0.9351724137931035;0.9371112646855563;1450.0
animal;0.9669247009148487;0.9689703808180536;0.9679464600211342;2836.0
accuracy;0.9575361642557163;0.9575361642557163;0.9575361642557163;0.9575361642557163
macro avg;0.9529914363300005;0.9520713973055785;0.9525288623533452;4286.0
weighted avg;0.9574971537155814;0.9575361642557163;0.9575145810578611;4286.0
