;precision;recall;f1-score;support
vacía;0.9319233311302049;0.9724137931034482;0.9517381032737091;1450.0
animal;0.9855751893256401;0.9636812411847673;0.9745052594045285;2836.0
accuracy;0.9666355576294914;0.9666355576294914;0.9666355576294914;0.9666355576294914
macro avg;0.9587492602279225;0.9680475171441077;0.9631216813391188;4286.0
weighted avg;0.9674241873696484;0.9666355576294914;0.9668028850718899;4286.0
