Metric;MegaDetector;v3.0;c3.0;v3.1;c3.1;v3.2;c3.2;Candidate
Accuracy;0.9608026131591227;0.949603359776015;-;0.9507699486700888;-;0.948670088660756;-;v3.1
Auc;0.0;0.9900508243762464;-;0.9905824133067456;-;0.9900693059676088;-;v3.1
F1-Score;0.9707418967771277;0.9616204640834614;-;0.9624354587711756;-;0.9605734717038682;-;v3.1
FN_rate;0.017277856135341052;0.0870147255689424;-;0.0883720930232558;-;0.1011673151750972;-;v3.0
FP_rate;0.08206896551667539;0.0308022922636103;YES;0.0280474649406688;YES;0.0233236151603498;YES;v3.2
Precision;0.959050240880936;0.954160789844852;-;0.9531029619181948;-;0.9449929478138224;-;v3.0
Recall;0.982722143864598;0.9691977077363896;-;0.9719525350593312;-;0.97667638483965;-;v3.2
