accuracy;auc;loss;precision;recall;val_accuracy;val_auc;val_loss;val_precision;val_recall
0.9062765836715698;0.9667686820030212;0.23667305707931519;0.8462409973144531;0.8835180997848511;0.9302380084991455;0.9802241325378418;0.17842814326286316;0.8912304639816284;0.904137909412384
0.9338834881782532;0.9823794364929199;0.16582532227039337;0.8858641982078552;0.9235772490501404;0.9388707280158997;0.9844692349433899;0.15550212562084198;0.887222945690155;0.9386206865310669
0.9380845427513123;0.9848477244377136;0.151970773935318;0.8928216099739075;0.9284552931785583;0.9447036981582642;0.9859447479248047;0.14558197557926178;0.9111864566802979;0.9268965721130371
0.9413353204727173;0.9863980412483215;0.14339765906333923;0.8989726305007935;0.9312638640403748;0.9458702802658081;0.9870147705078125;0.14119559526443481;0.9205800890922546;0.9193103313446045
0.9457364082336426;0.9876300096511841;0.1368456929922104;0.9055984020233154;0.9373244643211365;0.944936990737915;0.9873018264770508;0.13829305768013;0.8967320322990417;0.9462068676948547
0.9466866850852966;0.9880592823028564;0.13350330293178558;0.910413384437561;0.9343680739402771;0.9456369280815125;0.9880256056785583;0.13393773138523102;0.9032471776008606;0.9399999976158142
0.94728684425354;0.9888060688972473;0.12942509353160858;0.9089216589927673;0.9382113814353943;0.9456369280815125;0.9877554774284363;0.13503238558769226;0.9240418076515198;0.9144827723503113
0.9478869438171387;0.9893840551376343;0.1260000616312027;0.9116674065589905;0.9367331862449646;0.9468035697937012;0.9880257844924927;0.1327291876077652;0.9225449562072754;0.9200000166893005
0.9495373964309692;0.9894708395004272;0.1247456893324852;0.9144585132598877;0.9386548399925232;0.9458702802658081;0.9879039525985718;0.13349200785160065;0.9182692170143127;0.9220689535140991
0.949337363243103;0.9898597598075867;0.1225086897611618;0.914170503616333;0.9383592009544373;0.9479701519012451;0.9886120557785034;0.12886923551559448;0.9251559376716614;0.9206896424293518
