Metric;MegaDetector;v4.0;c4.0;v4.1;c4.1;v4.2;c4.2;Candidate
Accuracy;0.9608026131591227;0.946803546430238;-;0.9482034531031264;-;0.947736817545497;-;v4.1
Auc;0.0;0.988472836924274;-;0.989087471426487;-;0.989481542726521;-;v4.2
F1-Score;0.9707418967771277;0.9595601227050417;-;0.9604278024872418;-;0.9601139551144572;-;v4.1
FN_rate;0.017277856135341052;0.0882749326145552;-;0.0939153439153439;-;0.0929614873837981;-;v4.0
FP_rate;0.08206896551667539;0.0346181299072091;YES;0.0288392213410237;YES;0.0302158273381294;YES;v4.1
Precision;0.959050240880936;0.9538081805359662;-;0.9499294781382228;-;0.9506346967559944;-;v4.0
Recall;0.982722143864598;0.9653818700927908;-;0.9711607786589762;-;0.9697841726618706;-;v4.1
