Metric;MegaDetector;v3.0;c3.0;v3.1;c3.1;v3.2;c3.2;Candidate
Accuracy;0.9608026131591227;0.9500699953336444;-;0.9519365375641624;-;0.9454036397573496;-;v3.1
Auc;0.0;0.9911906035698652;-;0.9914773114148144;-;0.9907565293516852;-;v3.1
F1-Score;0.9707418967771277;0.9617583938572484;-;0.9637196145843664;-;0.9575779500438834;-;v3.1
FN_rate;0.017277856135341052;0.0950196592398427;-;0.0692520775623268;-;0.1214196762141967;-;v3.1
FP_rate;0.08206896551667539;0.025;YES;0.0372976776917663;YES;0.0145522388059701;YES;v3.2
Precision;0.959050240880936;0.9488716502115656;-;0.9647390691114246;YES;0.931241184767278;-;v3.1
Recall;0.982722143864598;0.975;-;0.9627023223082336;-;0.98544776119403;YES;v3.2
