Metric;MegaDetector;v1.0;c1.0;v1.1;c1.1;v1.2;c1.2;v1.3;c1.3;Candidate
Accuracy;0.9608026131591227;0.9484367708819412;-;0.9484367708819412;-;0.946803546430238;-;0.9428371441903872;-;v1.0
Auc;0.0;0.9913124361655562;-;0.990796653859248;-;0.990321725597004;-;0.9888021010651232;-;v1.0
F1-Score;0.9707418967771277;0.960472182445156;-;0.9607808290729752;-;0.9594161573358126;-;0.9566141263973;-;v1.1
FN_rate;0.017277856135341052;0.0986283474853037;-;0.0867518493611297;-;0.09375;-;0.0915254237288135;-;v1.1
FP_rate;0.08206896551667539;0.0254083484573502;YES;0.0328688817434798;YES;0.0312724658519051;YES;0.0391319815012451;YES;v1.0
Precision;0.959050240880936;0.9467559943582512;-;0.9545133991537376;-;0.9502820874471086;-;0.9523977433004231;-;v1.1
Recall;0.982722143864598;0.9745916515426496;-;0.9671311182565202;-;0.9687275341480948;-;0.9608680184987548;-;v1.0
