Metric;MegaDetector;v8.0;c8.0;Candidate
Accuracy;0.9608026131591227;0.9622025198320112;YES;v8.0
Auc;0.0;0.9939392539273382;-;v8.0
F1-Score;0.9707418967771277;0.9710920720885308;YES;v8.0
FN_rate;0.017277856135341052;0.0169797687861271;YES;v8.0
FP_rate;0.08206896551667539;0.0757575757575757;YES;v8.0
Precision;0.959050240880936;0.9594499294781382;YES;v8.0
Recall;0.982722143864598;0.9830202312138728;YES;v8.0
