Metric;MegaDetector;v6.0;c6.0;v6.1;c6.1;v6.2;c6.2;v6.3;c6.3;Candidate
Accuracy;0.9608026131591227;0.9482034531031264;-;0.9500699953336444;-;0.932104526364909;-;0.9391040597293514;-;v6.1
Auc;0.0;0.9897512280531102;-;0.9896410680414376;-;0.9811859831720248;-;0.984786245805165;-;v6.0
F1-Score;0.9707418967771277;0.9606940459915918;-;0.9619893378066726;-;0.9481929805799704;-;0.9541219848049314;-;v6.1
FN_rate;0.017277856135341052;0.0834464043419267;-;0.0857908847184986;-;0.1149501661129568;-;0.0851360781577111;-;v6.0
FP_rate;0.08206896551667539;0.0352062588904694;YES;0.0307802433786685;YES;0.0424307802948579;YES;0.0487206449351559;YES;v6.1
Precision;0.959050240880936;0.9566290550070522;-;0.9548660084626234;-;0.9389985895627644;-;0.956981664315938;-;v6.3
Recall;0.982722143864598;0.9647937411095304;-;0.9692197566213314;-;0.957569219705142;-;0.951279355064844;-;v6.1
